Num,Brand,Model_Name,Processor,Operating_System,Storage_MB,RAM_GB,Screen_Size,Touch_Screen,Price
213,Infinix,INBook Y2 Plus,Core i3,Windows 11 Home,512,8,39.62,No,329.88
214,DELL,Inspiron 3520,Core i5,Windows 11 Home,512,8,39.62,No,641.76
215,HP,15s-fq5007TU,Core i3,Windows 11 Home,512,8,39.62,No,467.88
216,HP,15s-fy5003TU,Core i3,Windows 11 Home,512,8,39.62,No,455.88
217,HP,13b-ca0006MU,MediaTek Kompanio 1200,Chrome,256,8,33.78,No,431.88
218,ASUS,GA401QE-K2166TS,Ryzen 9 Octa Core,Windows 10 Home,1000,16,35.56,No,1079.88
219,HP,15s- fr4000TU,Core i5,Windows 11 Home,512,8,39.62,No,563.88
220,HP,15s- fr5011TU,Core i5,Windows 11 Home,512,16,39.62,No,647.88
221,WINGS,WL-Nuvobook V1-BLU,Core i5,Windows 11 Home,512,8,39.62,No,335.88
222,Lenovo,V15 G4,Ryzen 3 Quad Core,Windows 11 Home,512,8,39.62,No,357.60
223,ASUS,E510MA-EJ011WS,Celeron Dual Core,Windows 11 Home,1000,8,39.62,No,299.88
224,HP,15-fb0137AX,Ryzen 7 Octa Core,Windows 11 Home,512,16,39.62,No,803.88
225,HP,14-dv2153TU,Core i5,Windows 11 Home,1000,16,35.56,No,803.99
226,HP,15s-fy5002TU,Core i5,Windows 11 Home,512,8,39.62,No,599.88
227,Infinix,INBook X2 Plus Core i7,Core i7,Windows 11 Home,1000,16,39.62,No,491.88
228,HP,14s-fy1003AU,Ryzen 5 Hexa Core,Windows 11 Home,512,16,35.56,No,545.88
229,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512,16,39.62,No,935.88
230,HP,Notebook,Core i5,Windows 11 Home,512,16,39.62,No,611.99
231,HP,15a- na0012TU,Celeron Dual Core,Chrome,128,4,39.62,No,265.20
232,Lenovo,Lenovo V15,Celeron Dual Core,DOS,256,8,39.62,No,263.88
